Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Afterlife","Sköne","Afterlife","Ravy ","Playlist","FXQ692100422","7ovzwPVEt5NhJJGuEcj1kC"
"BOUNC3","KT-KLIZM","Albatar au Pays de la Teuf","Ravy ","Playlist","GBSMU6877363","1Gu7xnGdAFUy7Jx6zLUgFG"
"Acid Frequencies","Neurotribe","Acid Pirate HS01","Ravy ","Playlist","FR9W11629255","7urlqaHGLJJhmru3qG9HUX"
"La Symphonie Des Teufeurs","Raptatek","Beetle Invasion","Ravy ","Playlist","FR9W12003748","2rXP2nlxFK4mrILNAAadMA"
"Terreur Nocturne","El Desperado","Terreur Nocturne","Ravy ","Playlist","QZNWZ2088505","5mNLaWJBhQ0s23Uyf07j3Q"
"Acidust","SKRY","Acid Pirate 02","Ravy ","Playlist","FR9W11901920","3Hk2Y7TXMO4IZhQGqqcDui"
"Destroy The Clones","Acid Division","Destroy The Clones","Ravy ","Playlist","QM8DG1811062","6bGAnuRUGFYp9wuBeYr5uA"
"Oasis","SKRY","Acid Pirate 02","Ravy ","Playlist","FR9W11901921","2f5loWDVxxF0ieX7iMr8K5"
"Nevrotique","Neurotribe","Nevrotique","Ravy ","Playlist","FRX281701875","5IuYu5f0dJQCd2e4m8tKkH"
"Poison","SKRY","Acid Pirate 08","Ravy ","Playlist","FR9W12007851","6t50Oxl0usJNL7Jau2mp6y"
"All Mad Here","Neurotribe","Mysteries 7","Ravy ","Playlist","QZH5E2102324","1c4Fu0gVe6qigZMF95I9dg"
"Make It Bounce","El Desperado","Make It Bounce","Ravy ","Playlist","FXQ692200217","7n7Gj8TP1VguuJx9MVwY6E"
"Hakaishin","Farfacid","Hakaishin","Ravy ","Playlist","FXQ692200303","3W9KTJHeQkJqzzDtaqGBqV"
"I Believe","Neika","Electrobooking Presents United Forces of Hardtek, Chapter 3: Revolution (Mixed by Darktek & Vandal)","Ravy ","Playlist","FR9W11816983","06WTyyTQFx485ji602uEa3"
"Reboot","Fortek","Reboot","Ravy ","Playlist","FXQ692100443","08YK4QAraRRumt8zJgpntT"
"Acid Far Out","Enko","Tekno Tracks 08 (14)","Ravy ","Playlist","QZHN32095738","3z3nNNk3JwGAbFIs1a88Sz"
